# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,71487.393839,14.536170,2.568620,6.776762,-6.223655,-107.115967,33.931194
pos,71703.985736,8.465720,1.912080,0.390400,-1.210398,-107.185158,33.976231
pos,71669.745271,9.164200,1.371870,0.694903,-4.419764,-107.181854,33.947399
neg,71487.401084,2.115510,3.942640,6.776762,-6.223655,-107.115967,33.931194
neg,71704.003373,0.893110,3.539840,0.390400,-1.210398,-107.185158,33.976231
neg,71669.746378,6.677510,1.168921,0.694903,-4.419764,-107.181854,33.947399
