# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85323.058791,10.125170,1.948040,53.876969,29.276682,-106.605682,34.250099
pos,85459.455795,10.821441,1.357100,73.694865,-16.955758,-106.390976,33.834785
pos,85288.176762,4.395850,1.726230,44.898866,31.579731,-106.702950,34.270790
pos,85707.570771,12.053491,1.540040,74.581895,-14.413964,-106.381363,33.857620
pos,85265.753956,11.618340,0.878021,65.210397,26.918888,-106.482895,34.228920
pos,85509.287215,10.049231,1.333719,45.618829,30.380305,-106.695152,34.260014
pos,85451.444299,8.979450,0.091180,-1.704554,4.034000,-107.207855,34.023342
pos,85276.364432,9.980901,1.886939,-4.614667,4.168199,-107.239380,34.024548
pos,85230.573467,5.718780,1.685290,44.061641,31.401433,-106.712021,34.269188
pos,85717.587560,10.158810,0.932421,0.776230,-6.839144,-107.180977,33.925667
pos,85292.159901,4.489380,1.309960,47.281301,13.769306,-106.677139,34.110794
pos,85451.990650,8.005320,1.197010,-18.620532,3.016294,-107.391121,34.014198
pos,85634.534492,14.900250,0.354569,74.798766,-15.882547,-106.379013,33.844429
pos,85381.456060,9.557040,1.102320,45.640264,-20.654778,-106.694916,33.801559
pos,85654.458860,9.614450,0.810319,1.410453,-4.703749,-107.174103,33.944847
pos,85595.990911,10.547720,2.214740,57.889723,27.128740,-106.562210,34.230804
pos,85757.933912,9.657130,0.978070,1.272386,-3.609629,-107.175598,33.954678
pos,85252.158609,5.886160,1.324500,44.555907,30.642620,-106.706665,34.262371
pos,85386.832340,9.140150,0.981110,45.531198,30.768455,-106.696098,34.263500
pos,85323.180599,10.240300,1.264660,-2.428299,3.239832,-107.215691,34.016209
pos,85341.113011,12.636090,1.615000,79.754028,-25.032017,-106.325333,33.762238
pos,85691.742364,5.506920,2.730230,57.395457,-30.582069,-106.567566,33.712379
pos,85426.630633,11.562901,2.886049,55.326352,-66.769366,-106.589981,33.387302
pos,85245.370877,9.914420,0.983191,-0.552739,1.546950,-107.195374,34.000999
pos,85635.747607,10.756360,1.611569,54.677628,27.318063,-106.597008,34.232506
pos,85417.364683,9.952830,1.981250,47.611021,11.952870,-106.673569,34.094479
pos,85698.501066,9.673250,0.806910,1.072537,-3.124156,-107.177765,33.959038
pos,85334.430677,10.587320,1.704969,-0.578587,2.108837,-107.195656,34.006046
pos,85433.228503,14.696651,3.223948,74.378893,-8.013479,-106.383568,33.915115
pos,85532.119299,9.610920,1.410140,53.701076,-27.710670,-106.607590,33.738174
pos,85299.642486,10.162550,2.195539,55.572854,28.185223,-106.587311,34.240295
pos,85341.254178,7.389100,2.077770,62.295241,24.321590,-106.514481,34.205589
pos,85306.970120,5.044790,1.731210,44.947410,31.322738,-106.702423,34.268478
pos,85645.434327,11.375740,1.849410,56.280208,-29.277717,-106.579643,33.724098
pos,85785.551476,0.453840,3.299720,-1.301072,1.402867,-107.203484,33.999706
pos,85584.186184,12.111950,2.038220,55.608159,-69.369705,-106.586929,33.363945
pos,85220.576280,9.941299,0.989681,-0.300563,0.993808,-107.192642,33.996029
pos,85593.531673,15.111019,0.000000,67.101719,24.345161,-106.462402,34.205799
pos,85266.179773,10.596610,1.572770,-1.106266,1.404768,-107.201370,33.999722
pos,85549.159363,8.178300,1.653891,-20.526984,2.617880,-107.411774,34.010620
