# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,86282.280650,11.211290,0.571229,29.862231,-64.571623,-106.865860,33.407047
pos,86088.632605,9.950840,2.092851,-1.176244,-4.256293,-107.202126,33.948868
pos,86315.343242,11.520000,1.089709,29.831970,-64.303986,-106.866188,33.409451
pos,85877.078985,10.255151,2.809519,0.795773,-3.330207,-107.180763,33.957188
pos,86163.264091,9.924870,3.151999,64.793046,-37.250191,-106.487419,33.652477
pos,86184.816520,9.866220,1.884080,69.881961,22.485006,-106.432281,34.189091
pos,86177.060114,8.735310,1.445250,76.678109,-25.355918,-106.358658,33.759327
pos,85951.221931,9.822290,2.297690,0.220181,-1.222183,-107.186996,33.976124
pos,85915.091645,10.320169,1.219960,69.767221,18.790547,-106.433525,34.155903
pos,86239.944698,9.424060,1.874490,-0.057843,-7.298766,-107.190010,33.921535
pos,86130.289196,5.220410,1.498909,70.784752,21.138836,-106.422501,34.176998
pos,86203.718959,13.237920,1.393720,48.888294,-39.296247,-106.659729,33.634098
pos,86120.702055,10.153500,1.370400,67.512766,22.157682,-106.457954,34.186150
pos,86253.966856,12.104589,1.450811,55.576637,-36.076236,-106.587265,33.663025
pos,86282.683764,7.462460,0.641780,74.651874,-24.736247,-106.380608,33.764893
pos,86109.671537,10.985250,1.642240,72.178025,-19.530246,-106.407410,33.811661
pos,86169.851436,11.052160,2.786830,45.611895,-32.833035,-106.695229,33.692158
pos,86010.613912,13.236019,2.587200,72.506485,-17.192601,-106.403847,33.832661
pos,86287.009555,10.525661,2.197289,-0.139800,-1.787111,-107.190903,33.971050
pos,86317.178448,9.920760,2.134280,55.642833,28.075355,-106.586548,34.239307
pos,85998.284642,10.334870,1.701799,63.340511,23.140413,-106.503151,34.194977
pos,85980.930217,9.998080,2.573389,54.634128,28.677539,-106.597481,34.244717
pos,85845.037646,12.591200,3.426371,74.853615,-18.455895,-106.378418,33.821312
pos,86359.355904,9.516049,2.165451,63.498751,21.301927,-106.501442,34.178463
pos,85898.791929,9.567201,2.042250,66.468756,22.951470,-106.469261,34.193279
pos,86201.790296,11.760090,1.774380,53.262290,-37.543679,-106.612343,33.649841
pos,86186.243026,9.970590,1.281731,52.986157,31.379763,-106.615334,34.268993
pos,85816.740542,9.144320,1.051769,72.263765,25.500867,-106.406479,34.216183
pos,86110.095556,10.733930,1.303880,47.774305,-29.936546,-106.671799,33.718178
pos,86010.754197,11.482430,2.154241,31.987446,-67.348360,-106.842834,33.382103
pos,85887.656900,5.615440,1.418620,80.705993,-22.422553,-106.315018,33.785679
pos,85911.785455,9.607380,1.789880,48.812010,29.956420,-106.660553,34.256207
pos,86134.722066,11.003580,1.761310,66.519822,-8.303546,-106.468712,33.912510
pos,85838.160688,10.600550,2.066561,-0.529413,1.909249,-107.195122,34.004253
pos,86069.904303,12.133929,2.160041,55.187024,-36.793991,-106.591492,33.656578
pos,86267.195444,10.285310,2.149731,0.153354,-1.814863,-107.187721,33.970798
pos,86026.548205,9.886730,1.393300,26.619245,-68.830249,-106.900993,33.368790
pos,86293.903925,11.522639,1.070201,73.613538,-12.430254,-106.391853,33.875439
pos,85875.833484,11.185360,1.756841,49.161274,25.629744,-106.656769,34.217339
pos,86154.124176,10.358320,2.487550,80.202272,-20.945606,-106.320473,33.798946
pos,86020.051046,9.906071,2.596889,0.558097,-0.514313,-107.183342,33.982483
pos,85973.257957,9.519290,1.884250,66.929608,19.512103,-106.464272,34.162384
pos,86132.046206,2.695250,2.053200,53.936230,-38.145863,-106.605042,33.644432
pos,86234.851017,5.090300,2.035830,75.938603,-13.381051,-106.366669,33.866898
pos,85946.552314,7.443860,2.531560,81.315629,-21.595311,-106.308411,33.793110
pos,85937.179585,9.286679,1.279231,70.709099,24.182069,-106.423325,34.204334
pos,86190.514148,4.892090,1.166890,66.344560,20.360635,-106.470612,34.170006
pos,86074.558245,8.737990,2.460460,71.276495,-18.200423,-106.417175,33.823605
pos,86203.064335,10.830330,1.817389,0.032940,-0.979637,-107.189026,33.978302
pos,86022.905558,9.526080,1.904719,48.268571,26.314424,-106.666443,34.223488
pos,86010.919647,0.811800,2.607960,52.049322,-40.083192,-106.625481,33.627029
pos,86214.653093,10.995610,2.102970,71.214712,-20.168926,-106.417847,33.805923
pos,86336.593552,11.019420,1.468380,-0.069191,-2.044483,-107.190132,33.968739
pos,86171.768486,7.785170,0.870080,53.734490,-36.855578,-106.607224,33.656025
pos,86047.284367,16.063829,0.000000,52.735872,-37.495398,-106.618042,33.650276
pos,86180.989226,9.368420,1.858541,-2.992543,-2.330369,-107.221809,33.966167
pos,86369.971007,10.810100,3.423480,48.516964,-37.741366,-106.663750,33.648067
pos,86111.240116,8.186450,1.706890,76.217888,-25.088661,-106.363640,33.761726
pos,86132.699192,10.443520,1.948431,65.796076,21.236538,-106.476547,34.177876
pos,86279.329448,9.511370,2.035390,55.722899,14.507210,-106.585686,34.117424
pos,86011.240628,8.872930,0.491140,72.995076,-16.572550,-106.398560,33.838230
pos,86297.530037,7.850350,1.450980,50.584809,-25.288249,-106.641350,33.759933
pos,86104.241207,9.738720,1.259540,72.329961,22.214327,-106.405762,34.186657
pos,86120.983819,10.466559,0.652841,28.792373,-62.691699,-106.877449,33.423935
pos,86027.047207,10.883750,2.470099,66.616910,-7.908173,-106.467659,33.916061
pos,86050.438267,11.035460,2.362161,72.656530,-16.769096,-106.402222,33.836464
pos,86324.118228,7.964730,1.523430,50.567157,-24.705834,-106.641541,33.765167
pos,86231.082922,10.961470,1.341861,29.231160,-64.219209,-106.872696,33.410213
pos,86155.989586,11.096530,0.536650,75.174509,-23.029299,-106.374947,33.780228
pos,86382.124861,6.675180,2.473629,67.089740,21.910954,-106.462532,34.183933
pos,86088.763407,10.957820,2.166900,49.288623,-31.655659,-106.655396,33.702736
