# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,85806.449099,7.635720,4.275459,55.796030,19.953096,-106.584892,34.166344
pos,86014.585754,8.474880,1.436429,-17.127649,2.048010,-107.374947,34.005501
pos,85934.218383,4.683640,2.167490,61.580321,21.656623,-106.522224,34.181648
pos,85959.684195,7.103270,2.885940,52.390390,-23.687367,-106.621788,33.774315
pos,86296.376543,10.056710,2.872900,31.263700,-65.241857,-106.850677,33.401024
pos,86098.334888,10.992280,2.248550,78.123709,-19.124608,-106.342995,33.815304
pos,85988.660400,7.560560,0.878409,-20.593811,-0.942761,-107.412498,33.978634
pos,85854.742445,8.481151,1.540040,91.023152,-29.641156,-106.203239,33.720833
pos,86030.352584,11.371540,1.894071,73.203121,-17.768554,-106.396301,33.827484
pos,85909.225384,6.476270,3.062920,79.044783,-24.989438,-106.333015,33.762619
pos,86364.982708,2.887510,3.851030,51.829298,-37.571431,-106.627869,33.649593
pos,86282.277667,10.136769,1.509750,29.862231,-64.571623,-106.865860,33.407047
pos,86088.631185,8.783629,2.566811,-1.176244,-4.256293,-107.202126,33.948868
pos,86315.344414,10.296320,1.719331,29.831970,-64.303986,-106.866188,33.409451
pos,85812.417761,8.742290,2.356559,51.321163,-37.517828,-106.633369,33.650074
pos,85877.078985,9.154269,3.611382,0.795773,-3.330207,-107.180763,33.957188
pos,86163.263771,9.284590,3.102281,64.793046,-37.250191,-106.487419,33.652477
pos,86184.816520,9.352150,1.613610,69.881961,22.485006,-106.432281,34.189091
pos,86177.089186,6.622140,2.854620,76.678109,-25.355918,-106.358658,33.759327
pos,85951.221658,9.491490,2.241899,0.220181,-1.222183,-107.186996,33.976124
pos,85915.082733,8.814059,1.719271,69.767221,18.790547,-106.433525,34.155903
pos,86239.943832,8.969580,2.242940,-0.057843,-7.298766,-107.190010,33.921535
pos,86130.289038,5.422930,1.903290,70.784752,21.138836,-106.422501,34.176998
pos,86203.715089,9.315310,2.399131,48.888294,-39.296247,-106.659729,33.634098
