Lightning Mapping Array analyzed data
Analysis program: /home/lawrence/lma/bin/lma_analysis_gold -d 20240726 -t 195000 -s 600 -g /home/lawrence/lma/loc/ll_lma.gps -n 5 -o . --decimate 80
Analysis program version: 10.14.10R
File created: Thu Nov  7 21:22:12 2024
71401.627573159  33.17952333 -108.18034700 513365.61   0.18  16.6 0x1688
71401.628130257  35.33665565 -106.53573596  45289.79   0.48   3.3 0x0a68
71401.628280648  34.56131791 -108.22130942  12696.58   2.41  13.9 0x1c99
71401.629127906  34.55637538 -108.22510928  13753.85   1.95   6.7 0x1cc8
71401.629200312  35.00144634 -106.73599432  33170.77   1.91  -0.1 0x1660
71401.629258959  34.55460134 -108.22260353  13779.33   1.87   5.0 0x0cc9
71401.629486098  34.49220091 -107.73575569  49679.59   0.10   9.3 0x1688
71401.630470476  34.27256342 -105.63968285  30603.23   1.19  -2.0 0x0ec0
71401.631744693  34.55826676 -108.22598140  14349.87   0.60   6.3 0x1e80
71401.632086348  34.55347521 -108.22856664  13955.01   0.99   6.9 0x1cc8
71401.632329903  34.55306179 -108.23798356  16089.41   3.14   7.1 0x1e09
71401.632766237  34.39309606 -107.66727454  40699.29   2.39  11.8 0x1688
71401.632772136  34.36745498 -107.34505845  34893.70   2.94   1.2 0x1a48
71401.633522067  34.55745729 -108.22317758  13588.99   0.98   9.8 0x1c89
71401.633720786  34.55731062 -108.21666539  14801.61   1.02  11.8 0x18c9
71401.634059667  34.54929296 -108.22385522  11047.85   2.69   5.4 0x1e88
71401.634283912  34.55689593 -108.21612394  13901.17   1.44   6.1 0x1cc9
71401.635328173  34.55887004 -108.23655548  17039.30   3.57   7.5 0x1e09
71401.636358909  32.82289542 -106.66768217  48834.79   4.80  11.1 0x1648
71401.636371543  34.55814742 -108.22263876  13749.41   1.88  13.9 0x3cd9
71401.636510333  34.55639107 -108.22126249  14967.08   0.56  17.8 0x30d9
71401.636615347  33.81013648 -107.30225928  26347.55   2.48  11.7 0x3601
71401.636655170  34.56031484 -108.22422010  14450.65   3.02  18.9 0x22f9
71401.636786002  34.18927332 -107.58059021  20846.22   1.36   2.2 0x0ea0
71401.636862074  34.42655798 -107.46293196  42484.18   0.30   7.4 0x0689
71401.638882670  34.55661375 -108.21519116  12967.44   1.88   2.8 0x14c8
71401.639443454  34.49281050 -107.72314574  48909.44   4.24   5.1 0x1289
71401.640868104  34.55608044 -108.21018853  12056.07   0.05   2.6 0x1cc0
71401.641748217  34.55290231 -108.20380832  17252.33   1.86  15.6 0x2cfb
71401.641846687  34.55808910 -108.21605098  14407.13   3.73   8.0 0x1e49
71401.641916109  34.55686800 -108.20972440  15034.78   0.67   8.9 0x04c9
71401.643788696  34.22721901 -107.59463201  13894.14   0.95   1.2 0x1249
71401.654729584  36.19813685 -106.85801514 134493.27   1.90   7.2 0x1688
71401.655692908  35.52387031 -105.84102076 324903.88   4.95  12.0 0x2681
71401.656199368  35.79128956 -106.79615762 122495.57   0.10  11.5 0x106a
71401.656568861  34.55744360 -108.21363020  13855.34   0.92  18.7 0x1c59
71401.657707589  34.55723451 -108.21915605  13294.71   2.41  10.1 0x1ec9
71401.657925634  34.55708967 -108.21936456  14189.16   4.01   9.7 0x1ac9
71401.658054581  34.55628605 -108.21920372  14198.40   1.33  11.9 0x3cc9
71401.658105922  34.55583889 -108.21746139  13825.81   3.02   4.9 0x14c8
71401.660942593  34.55557641 -108.22514688  11819.01   0.36  10.2 0x1c88
71401.660990615  34.55830905 -108.21137160  13465.60   4.37   2.3 0x14c9
71401.661532911  34.55666875 -108.20599840  14690.49   1.81  13.4 0x3cd9
71401.661733511  34.55694253 -108.20863619  13573.65   4.75   3.4 0x12c9
71401.662010082  34.47626253 -107.59215557  48907.13   0.74   3.8 0x1688
71401.662390067  34.56015786 -108.21403575  13518.13   4.07  13.7 0x3adb
71401.662573868  34.12162487 -107.31523052   7015.11   0.09  -2.5 0x1648
71401.687330824  34.27808907 -107.24979240  27518.70   1.05   5.6 0x06a8
71401.690692473  34.55431541 -108.20761626  14207.62   0.63   4.1 0x1449
71401.691524984  34.55513701 -108.20521337  15101.64   1.25  11.1 0x38d9
71401.691839027  35.48862429 -105.30885070 282397.80   0.04  10.6 0x3842
71401.692239613  34.55427463 -108.20787168  14300.11   1.30   5.3 0x1cc8
71401.692405588  34.55386755 -108.21319970  14326.35   2.42  10.5 0x2ec9
71401.692658685  34.55513744 -108.20700954  15127.99   0.87  12.9 0x1cc9
71401.693988007  34.55419650 -108.20433876  13918.65   1.49   7.0 0x3cc9
71401.721487632  34.55412028 -108.20168031  14598.42   1.84  10.4 0x2cc9
71401.722556137  34.55199731 -108.23244236  14504.30   2.37  10.2 0x1ec8
71401.723169745  34.55170945 -108.23474830  13136.99   1.62  10.9 0x3cd9
71401.724875593  34.43311116 -107.15313969  29581.60   0.87  -0.5 0x0a89
71401.725176226  36.95675916 -111.67922031 179516.15   3.33  21.9 0x30c8
71401.725432271  34.55230706 -108.23403660  12669.18   0.01   9.1 0x1c88
71401.726479688  34.55031729 -108.23065952  13552.25   1.16  10.2 0x3c89
71401.726698332  33.30881922 -106.28348887  69010.83   0.14   4.4 0x1443
71401.726838964  34.55218878 -108.23096143  14255.61   0.48   8.1 0x1cc9
71401.726902083  34.55014234 -108.23289185  13199.67   0.37  10.7 0x1c88
71401.727123760  34.55250828 -108.23874705  12480.81   2.36   8.4 0x1cc8
71401.727699955  34.52134156 -107.58513527  54654.62   0.29   2.7 0x1a88
71401.728267185  34.55050639 -108.23478689  13432.23   3.28  11.6 0x1ec8
71401.728442930  38.55491565 -113.98361105 330412.03   1.04  25.8 0x34c0
71401.730980546  34.55403913 -108.22909332  18476.75   0.81  22.8 0x1609
71401.731095600  33.82628985 -106.93581732  26591.06   0.82   3.2 0x18b0
71401.732656466  34.55300598 -108.20622846  16820.05   0.02   6.1 0x3858
71401.732722221  33.93574388 -107.71598136  58521.25   3.28   5.7 0x18a8
71401.732735850  34.55348571 -108.21314064  15512.83   3.16  11.1 0x30d9
71401.732803889  34.55361070 -108.20610539  15001.16   0.00  10.6 0x2489
